n p time
1 1 0.28517413
1 2 0.14488220
1 4 0.08081317
1 8 0.05444121
1 16 0.08625102
1 32 0.08852386
1 64 0.10315800
2 1 0.14387703
2 2 0.07558513
2 4 0.04214001
2 8 0.03642607
2 16 0.05856991
2 32 0.06590009
2 64 0.07845402
4 1 0.07520986
4 2 0.04011703
4 4 0.02334285
4 8 0.07274199
4 16 0.04067087
4 32 0.05830622
4 64 0.09566998
8 1 0.05443406
8 2 0.02950811
8 4 0.01761913
8 8 0.23397994
8 16 0.80988789
8 32 0.09043503
8 64 0.20023894
