n p time
1 1 0.28370690
1 2 0.28637004
1 4 0.14361191
1 8 0.08017087
1 16 0.04366708
1 32 0.09005308
1 64 0.09667397
2 1 0.14412904
2 2 0.07488203
2 4 0.04345703
2 8 0.02591300
2 16 0.06304002
2 32 0.06546712
2 64 0.08455920
4 1 0.07376289
4 2 0.04007196
4 4 0.02343082
4 8 0.02105093
4 16 0.03735185
4 32 0.05711293
4 64 0.08390403
8 1 0.05440998
8 2 0.02483892
8 4 0.01881909
8 8 0.57286811
8 16 1.15374112
8 32 0.10162997
8 64 0.17153621
